id,title,description,activity_type,start_date,duration_moving_min,duration_elapsed_min,distance_miles,total_elevation_gain_ft,avg_hr,hr_std,max_hr,average_watts,weighted_average_watts,max_watts,rowing_avg_watts_manual,rowing_splits,average_speed_mph,max_speed_mph,average_cadence,calories,strava_relative_effort,hr_device_name,gear_name
15297892580,Training again,"5x12'/80""r. Took the middle 3 a bit harder",Rowing,2025-07-28 11:54:26+00:00,65.4,65.4,0,0,172.7,20,197,,,,176.6440958,125.6,0,0,19.4,967,139,Garmin Forerunner 245,Not Available
15297928675,"4x15'/90""r",Felt pretty good. Nice to be back in the basement,Rowing,2025-07-29 11:16:28+00:00,64.6,64.6,0,0,160.9,14.5,172,,,,161.9095515,129.3,0,0,18,881,90,Garmin Forerunner 245,Not Available
15297945742,Ride w/ Zeke,I've come to the realization that I'm not fit enough to ride with people while wearing the equivalent of a parachute as a jersey. Bike rips though,Ride,2025-07-31 09:52:29+00:00,94.4,139.1,24.54,962.6,153.6,23.8,183,126.2,,,,,15.59,35.44,,1117,101,Garmin Forerunner 245,Not Available
15308307142,Checking out a route other than the SRT,"Led by brittany ashe, and accompanied by Zeke K and Isaac Berman. Great fun",Ride,2025-08-01 10:44:29+00:00,114.7,142.3,27.56,1113.8,123.6,17.8,162,106.3,,,,,14.42,32.21,,801,28,Garmin Forerunner 245,Not Available
15321542553,Ride w/ Zeke and Isaac,Had to hurry back for lunch. Good cap on a good week,Ride,2025-08-02 11:31:38+00:00,231.5,311.1,60.26,1956,146.7,17.5,184,121.7,,,,,15.62,31.61,,2329,165,Garmin Forerunner 245,Not Available
15340629769,1x SS,First time rowing in ages,Rowing,2025-08-04 11:22:09+00:00,70.6,74.1,7.06,424.9,128.3,15.8,152,,,,,,6,8.57,35.4,838,20,Garmin Forerunner 245,Not Available
15354112142,Morning Workout,,Workout,2025-08-04 14:30:45+00:00,51.7,95.4,2.2,44.3,98.2,10.1,129,,,,,,2.55,7.22,53.4,447,6,Garmin Forerunner 245,Not Available
15354145730,4x8’/6’r,Low rate. Not very fast but I feel like I’m rowing decently,Rowing,2025-08-05 11:31:12+00:00,78.9,100.2,7.55,282.8,112.8,14.8,150,,,,,,5.74,9.89,53.4,606,14,Garmin Forerunner 245,Not Available
15357655784,Afternoon Ride w/ Livia,This area is not as nice as I hoped for biking.,Ride,2025-08-05 17:52:49+00:00,102,153.2,22.54,481,130.1,11.3,155,74.4,,,,,13.25,23.31,,812,26,Garmin Forerunner 245,Not Available
15390656237,"Drills, SS, some intensity",Bit of a smorgasbord. Catches are better when I think about them but not muscle memory yet,Rowing,2025-08-06 11:38:07+00:00,82.5,101,6.48,254.9,115.9,11.3,144,,,,,,4.71,10.81,60.3,802,14,Garmin Forerunner 245,Not Available
