time,heartrate,watts,cadence,altitude,velocity_smooth,distance
0,95,,,125.0,0.0,0.0
10,111,,,125.0,3.7,35.0
20,114,,,125.6,4.6,81.0
30,121,,,126.8,3.3,117.0
40,129,,,129.2,3.2,149.0
50,130,,,130.6,4.1,187.0
60,131,,,130.6,4.9,234.0
70,129,,,131.2,4.9,283.0
80,128,,,132.2,3.9,326.0
90,127,,,133.6,3.7,361.0
100,128,,,134.8,3.8,399.0
110,127,,,136.0,3.7,437.0
120,127,,,137.4,3.9,474.0
130,129,,,138.6,4.2,515.0
140,125,,,138.6,5.0,563.0
150,123,,,138.6,4.8,612.0
160,123,,,139.6,4.8,660.0
170,125,,,139.6,6.1,715.0
180,122,,,137.6,7.9,792.0
190,121,,,136.2,7.8,870.0
200,122,,,136.4,5.9,936.0
210,125,,,138.2,5.3,989.0
220,127,,,139.4,5.2,1038.0
230,128,,,138.6,6.9,1102.0
240,123,,,136.2,8.6,1182.0
250,129,,,128.2,12.5,1303.0
260,135,,,123.6,11.3,1420.0
270,137,,,123.0,9.1,1516.0
280,134,,,124.6,5.8,1583.0
290,136,,,127.6,2.9,1618.0
300,137,,,129.8,2.5,1643.0
310,136,,,130.8,4.5,1680.0
320,135,,,128.4,7.1,1751.0
330,134,,,129.8,3.0,1792.0
340,137,,,132.4,2.0,1811.0
350,139,,,134.6,2.2,1832.0
360,138,,,136.6,1.9,1852.0
370,140,,,138.4,2.2,1873.0
380,144,,,139.6,2.1,1895.0
390,143,,,141.0,2.4,1918.0
400,140,,,142.2,2.4,1941.0
410,137,,,144.0,2.3,1964.0
420,133,,,145.4,2.5,1990.0
430,137,,,146.4,3.8,2023.0
440,137,,,144.2,8.0,2092.0
450,130,,,141.4,8.2,2174.0
460,126,,,137.6,9.5,2268.0
470,128,,,136.6,7.9,2352.0
480,127,,,136.6,7.9,2430.0
490,124,,,135.4,7.9,2510.0
500,123,,,130.2,11.6,2616.0
510,124,,,127.0,10.2,2720.0
520,123,,,119.6,13.6,2849.0
530,129,,,115.4,10.5,2964.0
540,132,,,117.0,7.4,3045.0
550,137,,,119.6,5.8,3105.0
560,136,,,120.2,5.0,3157.0
570,136,,,121.4,4.5,3202.0
580,135,,,121.4,5.7,3256.0
590,129,,,120.6,6.3,3319.0
600,128,,,120.6,6.2,3380.0
610,130,,,120.8,6.0,3440.0
620,134,,,121.8,5.4,3494.0
630,140,,,124.4,3.4,3532.0
640,140,,,123.6,6.8,3591.0
650,139,,,123.8,5.6,3649.0
660,136,,,120.0,9.8,3736.0
670,135,,,119.4,7.3,3814.0
680,132,,,120.0,6.9,3884.0
690,136,,,121.6,4.6,3935.0
700,137,,,123.4,4.5,3979.0
710,139,,,124.4,4.5,4024.0
720,138,,,125.0,5.2,4074.0
730,138,,,125.6,5.7,4128.0
740,135,,,125.0,6.2,4190.0
750,131,,,125.0,6.0,4250.0
760,136,,,125.0,6.2,4311.0
770,135,,,125.4,6.0,4370.0
780,136,,,124.6,7.2,4439.0
790,135,,,124.6,5.7,4502.0
800,138,,,127.0,3.6,4543.0
810,143,,,129.6,2.9,4572.0
820,144,,,131.4,3.1,4601.0
830,141,,,131.8,3.4,4636.0
840,142,,,133.6,2.8,4665.0
850,146,,,135.8,2.8,4692.0
860,143,,,135.6,6.8,4747.0
870,137,,,126.0,12.8,4866.0
880,133,,,123.0,7.8,4960.0
890,135,,,128.8,2.8,4992.0
900,137,,,130.6,5.4,5038.0
910,135,,,126.0,9.6,5129.0
920,138,,,122.0,9.1,5224.0
930,137,,,122.8,6.8,5297.0
940,133,,,122.4,8.4,5373.0
950,131,,,118.2,9.3,5468.0
960,133,,,118.2,7.4,5547.0
970,138,,,120.6,5.4,5605.0
980,141,,,122.8,3.8,5646.0
990,144,,,125.4,2.4,5673.0
1000,142,,,127.6,1.8,5693.0
1010,145,,,129.8,1.6,5710.0
1020,150,,,131.8,1.6,5726.0
1030,155,,,134.0,1.7,5744.0
1040,157,,,136.2,2.0,5764.0
1050,156,,,138.0,1.9,5784.0
1060,156,,,139.6,2.0,5804.0
1070,153,,,141.4,2.0,5824.0
1080,150,,,143.2,2.2,5846.0
1090,147,,,144.6,2.4,5869.0
1100,145,,,146.4,2.5,5893.0
1110,144,,,147.8,2.5,5917.0
1120,144,,,148.8,3.9,5951.0
1130,141,,,149.4,3.7,5989.0
1140,137,,,150.4,4.0,6028.0
1150,138,,,151.8,3.2,6064.0
1160,145,,,155.2,3.2,6094.0
1170,147,,,156.4,3.8,6131.0
1180,147,,,156.8,4.2,6172.0
1190,144,,,157.6,3.8,6211.0
1200,137,,,158.4,3.9,6250.0
1210,137,,,158.8,3.7,6288.0
1220,132,,,160.2,3.7,6325.0
1230,135,,,161.4,3.7,6363.0
1240,133,,,162.6,3.7,6399.0
1250,135,,,163.8,3.6,6435.0
1260,139,,,165.6,2.8,6465.0
1270,141,,,167.6,2.5,6489.0
1280,142,,,169.4,2.5,6513.0
1290,144,,,171.4,2.2,6536.0
1300,146,,,173.4,2.3,6560.0
1310,147,,,174.6,2.5,6586.0
1320,145,,,175.8,2.7,6613.0
1330,142,,,177.2,3.0,6641.0
1340,139,,,177.6,4.2,6678.0
1350,133,,,177.6,5.2,6728.0
1360,128,,,175.4,8.1,6798.0
1370,126,,,168.8,11.5,6906.0
1380,128,,,161.6,12.4,7029.0
1390,129,,,155.4,12.7,7156.0
1400,133,,,144.6,15.2,7301.0
1410,127,,,134.0,13.1,7442.0
1420,118,,,134.8,9.0,7535.0
1430,126,,,136.6,6.2,7602.0
1440,129,,,137.4,6.9,7668.0
1450,131,,,136.4,7.2,7740.0
1460,131,,,135.6,7.2,7811.0
1470,128,,,136.0,5.7,7874.0
1480,132,,,137.8,4.8,7922.0
1490,134,,,138.4,5.2,7974.0
1500,133,,,138.6,5.2,8026.0
1510,137,,,139.8,4.6,8074.0
1520,139,,,141.6,3.5,8112.0
1530,146,,,143.6,3.4,8145.0
1540,149,,,145.4,3.7,8181.0
1550,151,,,147.4,3.7,8217.0
1560,150,,,148.4,3.9,8255.0
1570,147,,,147.8,5.7,8308.0
1580,136,,,146.0,7.6,8377.0
1590,128,,,139.6,11.7,8484.0
1600,114,,,131.6,11.5,8600.0
1610,120,,,130.4,8.5,8694.0
1620,129,,,133.4,5.8,8756.0
1630,130,,,134.6,5.2,8809.0
1640,132,,,135.6,4.4,8856.0
1650,138,,,137.6,3.5,8893.0
1660,144,,,139.6,3.4,8926.0
1670,149,,,141.4,3.1,8958.0
1680,152,,,144.4,2.5,8983.0
1690,157,,,146.4,2.4,9007.0
1700,156,,,148.2,2.7,9034.0
1710,157,,,149.2,2.6,9061.0
1720,151,,,150.2,2.7,9088.0
1730,147,,,150.8,2.7,9115.0
1740,143,,,152.2,2.5,9141.0
1750,144,,,154.0,2.2,9163.0
1760,148,,,156.6,2.5,9188.0
1770,149,,,158.0,2.2,9211.0
1780,147,,,158.6,3.4,9240.0
1790,147,,,159.6,3.4,9276.0
1800,144,,,160.8,2.9,9306.0
1810,145,,,162.6,2.9,9335.0
1820,147,,,163.6,2.9,9364.0
1830,145,,,164.6,2.8,9393.0
1840,143,,,166.6,2.7,9420.0
1850,145,,,168.2,3.0,9449.0
1860,146,,,169.6,3.2,9480.0
1870,146,,,170.2,3.5,9515.0
1880,142,,,171.2,3.5,9550.0
1890,142,,,172.4,3.5,9585.0
1900,140,,,173.6,3.3,9618.0
1910,138,,,174.6,3.0,9649.0
1920,140,,,175.6,3.1,9680.0
1930,138,,,176.2,3.3,9712.0
1940,135,,,177.0,3.2,9744.0
1950,135,,,177.6,3.6,9780.0
1960,137,,,178.4,3.7,9816.0
1970,135,,,179.2,3.5,9851.0
1980,135,,,180.4,3.3,9885.0
1990,135,,,181.4,3.4,9919.0
2000,133,,,182.2,3.5,9953.0
2010,132,,,183.0,3.7,9989.0
2020,133,,,183.4,4.4,10030.0
2030,133,,,183.8,4.9,10079.0
2040,132,,,183.8,5.2,10130.0
2050,133,,,183.4,6.0,10189.0
2060,133,,,182.6,6.5,10253.0
2070,136,,,182.4,6.2,10315.0
2080,136,,,182.6,6.6,10379.0
2090,137,,,181.6,6.7,10446.0
2100,138,,,181.6,6.3,10511.0
2110,135,,,181.2,6.8,10578.0
2120,136,,,180.8,7.0,10646.0
2130,133,,,180.6,7.0,10716.0
2140,134,,,179.8,7.2,10787.0
2150,138,,,178.8,7.8,10865.0
2160,133,,,177.4,7.8,10944.0
2170,133,,,177.0,7.5,11018.0
2180,136,,,178.0,6.3,11083.0
2190,136,,,179.0,6.2,11144.0
2200,136,,,179.4,6.1,11206.0
2210,136,,,179.4,6.2,11268.0
2220,135,,,179.4,6.5,11332.0
2230,135,,,178.8,6.8,11399.0
2240,136,,,178.6,7.0,11468.0
2250,136,,,178.6,6.6,11536.0
2260,137,,,179.4,6.3,11600.0
2270,139,,,180.8,5.6,11657.0
2280,142,,,182.6,4.0,11701.0
2290,142,,,184.4,3.4,11735.0
2300,142,,,186.2,3.6,11772.0
2310,142,,,187.6,3.6,11807.0
2320,142,,,188.4,3.7,11845.0
2330,142,,,189.0,3.8,11883.0
2340,138,,,189.6,3.8,11921.0
2350,137,,,190.8,3.7,11958.0
2360,138,,,191.2,4.7,12001.0
2370,135,,,191.4,5.4,12053.0
2380,134,,,190.8,6.6,12114.0
2390,127,,,187.6,8.7,12198.0
2400,129,,,183.6,9.0,12290.0
2410,128,,,181.6,8.5,12376.0
2420,128,,,180.8,8.2,12457.0
2430,130,,,180.6,8.2,12537.0
2440,133,,,180.4,6.4,12606.0
2450,138,,,181.6,6.0,12666.0
2460,135,,,181.6,6.4,12728.0
2470,135,,,180.4,7.4,12801.0
2480,136,,,180.6,6.5,12872.0
2490,136,,,181.6,6.2,12932.0
2500,136,,,180.4,7.6,13005.0
2510,135,,,180.4,6.6,13073.0
2520,135,,,180.4,6.5,13140.0
2530,136,,,180.8,6.5,13205.0
2540,133,,,179.6,8.2,13281.0
2550,136,,,178.2,7.6,13362.0
2560,133,,,179.6,5.8,13423.0
2570,135,,,179.6,7.0,13490.0
2580,132,,,178.6,7.0,13562.0
2590,128,,,178.4,6.8,13631.0
2600,133,,,178.8,6.5,13698.0
2610,138,,,179.0,6.9,13767.0
2620,139,,,178.6,6.8,13836.0
2630,141,,,178.4,7.0,13905.0
2640,141,,,177.6,7.4,13979.0
2650,142,,,178.6,5.4,14040.0
2660,138,,,180.8,3.8,14081.0
2670,137,,,182.4,3.8,14119.0
2680,140,,,183.6,4.0,14159.0
2690,140,,,184.6,3.7,14196.0
2700,140,,,186.0,4.1,14236.0
2710,138,,,186.8,4.0,14276.0
2720,136,,,186.8,7.5,14339.0
2730,136,,,181.6,9.8,14435.0
2740,138,,,178.6,10.1,14538.0
2750,135,,,178.6,8.1,14623.0
2760,137,,,180.2,6.4,14692.0
2770,135,,,181.2,6.3,14755.0
2780,135,,,179.8,8.0,14831.0
2790,139,,,179.2,7.4,14907.0
2800,138,,,178.8,7.5,14981.0
2810,140,,,178.6,6.9,15053.0
2820,141,,,179.4,6.6,15120.0
2830,138,,,179.4,6.3,15185.0
2840,135,,,179.2,6.3,15251.0
2850,133,,,179.6,6.5,15313.0
2860,134,,,177.8,8.0,15390.0
2870,132,,,177.8,7.0,15461.0
2880,134,,,178.4,7.2,15532.0
2890,138,,,179.6,6.0,15594.0
2900,138,,,181.2,5.0,15644.0
2910,141,,,182.4,4.5,15689.0
2920,142,,,183.4,4.5,15733.0
2930,136,,,184.4,3.8,15773.0
2940,137,,,186.0,3.6,15808.0
2950,139,,,187.4,4.2,15848.0
2960,137,,,187.6,4.5,15893.0
2970,138,,,188.4,3.6,15934.0
2980,138,,,190.4,2.5,15962.0
2990,139,,,192.2,2.2,15985.0
3000,140,,,194.2,2.2,16006.0
3010,143,,,196.2,2.3,16030.0
3020,143,,,197.2,3.2,16060.0
3030,141,,,197.0,5.6,16111.0
3040,140,,,195.8,6.3,16173.0
3050,136,,,195.8,6.5,16237.0
3060,138,,,196.8,5.7,16294.0
3070,135,,,197.4,5.8,16351.0
3080,132,,,197.6,6.2,16412.0
3090,130,,,197.6,6.1,16473.0
3100,130,,,196.8,7.4,16543.0
3110,128,,,196.0,7.6,16618.0
3120,134,,,194.6,8.6,16701.0
3130,131,,,192.4,9.3,16794.0
3140,132,,,191.6,8.8,16881.0
3150,135,,,190.6,8.2,16965.0
3160,136,,,190.4,7.8,17044.0
3170,135,,,190.4,7.1,17117.0
3180,133,,,191.0,6.0,17181.0
3190,137,,,193.4,4.8,17230.0
3200,141,,,194.4,6.2,17290.0
3210,138,,,193.2,7.7,17364.0
3220,137,,,191.2,8.6,17447.0
3230,136,,,190.0,8.2,17529.0
3240,133,,,189.4,8.4,17614.0
3250,133,,,189.8,7.5,17691.0
3260,133,,,189.8,7.9,17765.0
3270,135,,,188.4,7.7,17845.0
3280,138,,,191.0,4.8,17897.0
3290,139,,,193.6,4.8,17944.0
3300,140,,,193.8,5.3,17996.0
3310,137,,,194.2,5.7,18051.0
3320,135,,,193.8,6.4,18114.0
3330,129,,,193.2,6.7,18180.0
3340,134,,,191.8,8.1,18257.0
3350,130,,,189.6,9.0,18346.0
3360,136,,,189.6,6.9,18421.0
3370,139,,,190.8,6.6,18487.0
3380,139,,,192.2,6.7,18549.0
3390,139,,,190.6,8.0,18627.0
3400,137,,,189.6,7.1,18700.0
3410,135,,,190.4,5.7,18760.0
3420,137,,,193.0,4.0,18801.0
3430,143,,,195.6,3.1,18834.0
3440,146,,,198.6,2.5,18862.0
3450,152,,,201.0,2.6,18888.0
3460,149,,,202.6,2.5,18914.0
3470,148,,,203.6,2.6,18940.0
3480,143,,,204.6,3.0,18968.0
3490,138,,,205.4,3.9,19002.0
3500,134,,,205.6,4.3,19043.0
3510,134,,,205.6,4.6,19090.0
3520,131,,,205.4,6.2,19149.0
3530,130,,,203.8,8.3,19226.0
3540,127,,,200.2,10.0,19323.0
3550,131,,,198.8,8.8,19414.0
3560,134,,,200.2,7.3,19490.0
3570,134,,,201.4,6.1,19553.0
3580,138,,,202.2,5.7,19610.0
3590,138,,,202.0,6.2,19670.0
3600,132,,,201.4,6.9,19738.0
3610,130,,,200.4,7.5,19812.0
3620,126,,,198.8,7.8,19890.0
3630,125,,,198.4,7.6,19968.0
3640,125,,,198.4,7.3,20042.0
3650,129,,,197.6,8.2,20120.0
3660,128,,,193.2,10.4,20218.0
3670,133,,,190.2,10.0,20322.0
3680,136,,,190.4,8.6,20412.0
3690,132,,,188.8,9.4,20503.0
3700,139,,,184.0,11.3,20614.0
3710,138,,,183.8,8.0,20704.0
3720,141,,,186.2,6.4,20769.0
3730,140,,,186.6,6.5,20834.0
3740,137,,,186.2,6.2,20898.0
3750,141,,,186.8,6.2,20960.0
3760,139,,,185.4,8.5,21040.0
3770,128,,,181.6,10.1,21133.0
3780,136,,,178.0,9.8,21235.0
3790,134,,,180.6,5.3,21301.0
3800,137,,,184.8,2.8,21333.0
3810,141,,,186.8,2.5,21359.0
3820,141,,,188.6,2.6,21386.0
3830,136,,,189.4,4.2,21424.0
3840,133,,,189.0,5.4,21474.0
3850,135,,,189.8,4.6,21524.0
3860,139,,,191.6,4.5,21567.0
3870,137,,,192.8,5.6,21620.0
3880,137,,,190.6,8.5,21698.0
3890,136,,,185.2,11.4,21806.0
3900,142,,,185.6,7.5,21893.0
3910,141,,,188.0,8.7,21968.0
3920,134,,,180.6,10.9,22077.0
3930,134,,,182.4,5.8,22148.0
3940,137,,,186.6,4.4,22191.0
3950,141,,,187.4,4.9,22243.0
3960,141,,,188.8,4.2,22286.0
3970,144,,,191.2,4.5,22329.0
3980,147,,,191.8,5.9,22385.0
3990,146,,,189.6,7.9,22461.0
4000,139,,,188.6,7.6,22538.0
4010,136,,,189.2,6.8,22607.0
4020,133,,,189.2,7.6,22680.0
4030,134,,,185.6,11.0,22780.0
4040,131,,,176.6,12.1,22903.0
4050,130,,,177.2,9.4,23000.0
4060,131,,,174.8,10.4,23102.0
4070,130,,,170.6,12.7,23219.0
4080,134,,,160.0,13.0,23358.0
4090,136,,,157.6,11.6,23476.0
4100,136,,,151.8,13.1,23602.0
4110,139,,,142.6,13.8,23740.0
4120,145,,,137.4,12.7,23874.0
4130,145,,,136.6,10.6,23984.0
4140,146,,,136.6,9.0,24076.0
4150,143,,,136.6,8.3,24160.0
4160,137,,,137.4,6.4,24230.0
4170,136,,,139.2,5.3,24285.0
4180,128,,,140.6,3.782,24329.9
4212,108,,,140.6,0.518,24346.5
4220,122,,,140.6,5.3,24382.5
4230,127,,,140.8,5.8,24438.0
4240,129,,,140.6,6.9,24501.5
4250,125,,,135.6,10.8,24599.0
4260,126,,,131.0,10.6,24707.0
4270,129,,,130.4,8.7,24797.5
4280,128,,,130.6,9.0,24886.0
4290,129,,,128.2,8.9,24977.5
4300,137,,,129.0,7.2,25054.0
4310,139,,,130.6,6.4,25118.0
4320,136,,,127.0,10.2,25210.0
4330,135,,,121.4,11.1,25322.5
4340,133,,,118.0,10.7,25431.5
4350,128,,,113.6,11.2,25544.0
4360,126,,,112.6,9.0,25640.0
4370,125,,,113.6,8.0,25722.0
4380,129,,,113.4,8.3,25803.5
4390,131,,,114.0,7.7,25882.5
4400,135,,,115.0,6.2,25949.0
4410,137,,,117.0,4.7,25999.5
4420,139,,,119.0,4.0,26043.0
4430,137,,,121.0,3.4,26078.0
4440,135,,,122.6,3.2,26110.0
4450,137,,,124.4,2.9,26139.5
4460,137,,,126.4,2.5,26164.5
4470,137,,,128.2,2.5,26189.5
4480,140,,,129.8,2.6,26215.0
4490,140,,,131.8,2.5,26240.5
4500,142,,,133.6,2.5,26264.5
4510,141,,,135.6,2.5,26289.5
4520,143,,,137.6,2.5,26314.5
4530,143,,,138.8,2.6,26341.0
4540,142,,,140.2,3.3,26370.5
4550,141,,,141.0,4.0,26408.0
4560,138,,,140.8,4.7,26453.5
4570,136,,,141.4,4.6,26500.0
4580,132,,,141.8,4.7,26547.5
4590,134,,,142.6,4.8,26595.0
4600,135,,,143.6,5.0,26644.0
4610,132,,,143.6,5.8,26699.0
4620,130,,,143.6,5.8,26757.0
4630,126,,,143.8,5.1,26811.5
4640,124,,,144.6,5.0,26859.0
4650,126,,,144.6,6.9,26921.5
4660,125,,,141.6,8.8,27005.0
4670,125,,,137.0,10.5,27106.5
4680,125,,,132.6,10.4,27212.0
4690,124,,,129.4,10.5,27316.5
4700,127,,,126.0,10.2,27421.0
4710,126,,,123.0,11.3,27528.5
4720,131,,,120.4,8.9,27629.5
4730,133,,,120.4,10.4,27725.0
4740,136,,,118.2,7.6,27813.0
4750,137,,,120.4,8.0,27887.0
4760,138,,,114.6,11.6,27995.0
4770,139,,,111.0,10.0,28102.0
4780,137,,,111.0,9.0,28195.0
4790,135,,,110.6,8.1,28278.5
4800,136,,,110.2,8.1,28359.5
4810,138,,,111.2,6.8,28431.0
4820,137,,,110.8,8.2,28509.0
4830,138,,,110.6,7.8,28588.0
4840,137,,,111.0,7.8,28665.0
4850,138,,,110.6,7.9,28743.5
4860,138,,,110.6,8.0,28823.0
4870,138,,,110.6,7.8,28902.0
4880,138,,,110.6,8.0,28982.0
4890,139,,,110.4,7.8,29060.0
4900,141,,,110.2,7.7,29138.5
4910,141,,,110.0,7.7,29214.5
4920,139,,,110.0,7.4,29288.0
4930,139,,,110.6,7.3,29361.5
4940,139,,,110.4,7.4,29436.0
4950,139,,,110.4,7.3,29509.5
4960,138,,,110.2,7.5,29583.5
4970,136,,,110.6,6.9,29654.5
4980,135,,,110.6,6.8,29723.0
4990,135,,,110.6,7.1,29794.5
5000,137,,,110.4,7.0,29865.0
5010,136,,,110.4,7.0,29935.0
5020,136,,,110.4,7.3,30006.5
5030,139,,,110.6,7.3,30078.5
5040,138,,,110.0,7.2,30151.0
5050,138,,,110.0,7.5,30225.5
5060,139,,,109.8,7.4,30299.0
5070,136,,,110.0,7.4,30372.0
5080,136,,,110.0,7.4,30444.0
5090,136,,,111.2,6.3,30511.5
5100,140,,,110.0,8.0,30589.0
5110,140,,,109.8,7.5,30665.5
5120,140,,,110.6,6.5,30733.5
5130,145,,,113.6,4.4,30781.0
5140,151,,,116.6,4.7,30824.5
5150,151,,,117.6,5.2,30876.0
5160,150,,,118.0,5.9,30931.5
5170,148,,,117.0,7.8,31004.0
5180,141,,,114.0,9.3,31093.5
5190,136,,,111.6,8.7,31183.5
5200,136,,,111.6,7.8,31266.0
5210,134,,,113.0,7.5,31338.5
5220,138,,,112.8,7.1,31411.5
5230,145,,,115.4,5.0,31467.0
5240,146,,,117.6,6.4,31524.0
5250,148,,,117.0,6.2,31589.0
5260,150,,,119.0,4.4,31638.0
